app,family,variant_id,sample_id,source_ir,function,entity_id,role,bb,def_opcode,use_count,is_loop_carried,is_output_related,fanout,reduction_depth,distance_to_output,same_loop_neighbor_count,num_arith_users,format,format_n,format_es,tol_whole_app_rel_err,actual_whole_app_rel_err,is_feasible_under_tol,margin_to_tol,label_status,notes
sum_reduce_v02,sum_reduce,v02,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v02.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_32_1,32,1,1.000000e-03,8.237250e-09,1,9.999918e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v02,sum_reduce,v02,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v02.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_32_2,32,2,1.000000e-03,8.237250e-09,1,9.999918e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v03,sum_reduce,v03,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v03.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_8_0,8,0,1.000000e-03,2.903980e-01,0,-2.893980e-01,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v03,sum_reduce,v03,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v03.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_8_1,8,1,1.000000e-03,2.903980e-01,0,-2.893980e-01,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v03,sum_reduce,v03,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v03.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_8_2,8,2,1.000000e-03,2.903980e-01,0,-2.893980e-01,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v03,sum_reduce,v03,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v03.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_16_0,16,0,1.000000e-03,6.503600e-04,1,3.496400e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v03,sum_reduce,v03,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v03.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_16_1,16,1,1.000000e-03,3.575980e-04,1,6.424020e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v03,sum_reduce,v03,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v03.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_16_2,16,2,1.000000e-03,1.463810e-04,1,8.536190e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v03,sum_reduce,v03,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v03.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_32_0,32,0,1.000000e-03,2.376120e-08,1,9.999762e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
sum_reduce_v03,sum_reduce,v03,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/sum_reduce/sum_reduce_v03.ll,main,%19,accumulator,entry,phi,1,1,1,1,2,3,1,1,posit_32_1,32,1,1.000000e-03,1.468930e-08,1,9.999853e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
