app,family,variant_id,sample_id,source_ir,function,entity_id,role,bb,def_opcode,use_count,is_loop_carried,is_output_related,fanout,reduction_depth,distance_to_output,same_loop_neighbor_count,num_arith_users,format,format_n,format_es,tol_whole_app_rel_err,actual_whole_app_rel_err,is_feasible_under_tol,margin_to_tol,label_status,notes
prefix_recurrence_v06,prefix_recurrence,v06,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/prefix_recurrence/prefix_recurrence_v06.ll,main,%21,accumulator,entry,phi,1,1,1,1,0,2,1,0,posit_16_0,16,0,1.000000e-03,9.557720e-04,1,4.422800e-05,actual_eval,single-accumulator substitution; other entities fixed to fp64
prefix_recurrence_v06,prefix_recurrence,v06,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/prefix_recurrence/prefix_recurrence_v06.ll,main,%21,accumulator,entry,phi,1,1,1,1,0,2,1,0,posit_16_1,16,1,1.000000e-03,4.466410e-04,1,5.533590e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
prefix_recurrence_v06,prefix_recurrence,v06,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/prefix_recurrence/prefix_recurrence_v06.ll,main,%21,accumulator,entry,phi,1,1,1,1,0,2,1,0,posit_16_2,16,2,1.000000e-03,2.884090e-03,0,-1.884090e-03,actual_eval,single-accumulator substitution; other entities fixed to fp64
prefix_recurrence_v06,prefix_recurrence,v06,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/prefix_recurrence/prefix_recurrence_v06.ll,main,%21,accumulator,entry,phi,1,1,1,1,0,2,1,0,posit_32_0,32,0,1.000000e-03,2.278490e-08,1,9.999772e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
prefix_recurrence_v06,prefix_recurrence,v06,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/prefix_recurrence/prefix_recurrence_v06.ll,main,%21,accumulator,entry,phi,1,1,1,1,0,2,1,0,posit_32_1,32,1,1.000000e-03,1.466350e-08,1,9.999853e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
prefix_recurrence_v06,prefix_recurrence,v06,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/prefix_recurrence/prefix_recurrence_v06.ll,main,%21,accumulator,entry,phi,1,1,1,1,0,2,1,0,posit_32_2,32,2,1.000000e-03,1.466350e-08,1,9.999853e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
prefix_recurrence_v07,prefix_recurrence,v07,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/prefix_recurrence/prefix_recurrence_v07.ll,main,%21,accumulator,entry,phi,1,1,1,1,0,2,1,0,posit_8_0,8,0,1.000000e-03,5.108840e-02,0,-5.008840e-02,actual_eval,single-accumulator substitution; other entities fixed to fp64
prefix_recurrence_v07,prefix_recurrence,v07,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/prefix_recurrence/prefix_recurrence_v07.ll,main,%21,accumulator,entry,phi,1,1,1,1,0,2,1,0,posit_8_1,8,1,1.000000e-03,5.108840e-02,0,-5.008840e-02,actual_eval,single-accumulator substitution; other entities fixed to fp64
prefix_recurrence_v07,prefix_recurrence,v07,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/prefix_recurrence/prefix_recurrence_v07.ll,main,%21,accumulator,entry,phi,1,1,1,1,0,2,1,0,posit_8_2,8,2,1.000000e-03,5.108840e-02,0,-5.008840e-02,actual_eval,single-accumulator substitution; other entities fixed to fp64
prefix_recurrence_v07,prefix_recurrence,v07,,/home/hoju/test/posit_test/generated_apps/compiled_accum_O1/ir/prefix_recurrence/prefix_recurrence_v07.ll,main,%21,accumulator,entry,phi,1,1,1,1,0,2,1,0,posit_16_0,16,0,1.000000e-03,2.342830e-04,1,7.657170e-04,actual_eval,single-accumulator substitution; other entities fixed to fp64
