sample_id,rows,cols,dist_type,posit_n,posit_es,abs_err,rel_err,fp32_abs_err,fp32_rel_err,x_mean,x_std,x_p1,x_p50,x_p99,y_mean,y_std,y_p1,y_p50,y_p99
3,16,16,0,8,1,2.60093,0.276723,9.60636e-09,1.02205e-09,0.144986,1.09124,0.0140371,0.664535,2.60984,0.0872617,1.01488,0.0168851,0.735952,1.61846
3,16,16,0,8,2,1.39907,0.148852,9.60636e-09,1.02205e-09,0.144986,1.09124,0.0140371,0.664535,2.60984,0.0872617,1.01488,0.0168851,0.735952,1.61846
3,16,16,0,16,0,0.00718404,0.000764335,9.60636e-09,1.02205e-09,0.144986,1.09124,0.0140371,0.664535,2.60984,0.0872617,1.01488,0.0168851,0.735952,1.61846
3,16,16,0,16,1,0.00453471,0.000482464,9.60636e-09,1.02205e-09,0.144986,1.09124,0.0140371,0.664535,2.60984,0.0872617,1.01488,0.0168851,0.735952,1.61846
3,16,16,0,16,2,0.00453471,0.000482464,9.60636e-09,1.02205e-09,0.144986,1.09124,0.0140371,0.664535,2.60984,0.0872617,1.01488,0.0168851,0.735952,1.61846
3,16,16,0,32,0,9.60636e-09,1.02205e-09,9.60636e-09,1.02205e-09,0.144986,1.09124,0.0140371,0.664535,2.60984,0.0872617,1.01488,0.0168851,0.735952,1.61846
3,16,16,0,32,1,2.48025e-07,2.63883e-08,9.60636e-09,1.02205e-09,0.144986,1.09124,0.0140371,0.664535,2.60984,0.0872617,1.01488,0.0168851,0.735952,1.61846
3,16,16,0,32,2,1.69208e-07,1.80026e-08,9.60636e-09,1.02205e-09,0.144986,1.09124,0.0140371,0.664535,2.60984,0.0872617,1.01488,0.0168851,0.735952,1.61846
4,16,16,0,8,0,5.69673,0.216579,8.09115e-07,3.0761e-08,0.033154,1.02663,0.0200189,0.709462,2.45578,-0.253994,1.06888,0.0992927,0.769769,1.65643
4,16,16,0,8,1,6.30327,0.239638,8.09115e-07,3.0761e-08,0.033154,1.02663,0.0200189,0.709462,2.45578,-0.253994,1.06888,0.0992927,0.769769,1.65643
4,16,16,0,8,2,6.30327,0.239638,8.09115e-07,3.0761e-08,0.033154,1.02663,0.0200189,0.709462,2.45578,-0.253994,1.06888,0.0992927,0.769769,1.65643
4,16,16,0,16,0,0.00923428,0.00035107,8.09115e-07,3.0761e-08,0.033154,1.02663,0.0200189,0.709462,2.45578,-0.253994,1.06888,0.0992927,0.769769,1.65643
4,16,16,0,16,1,0.00639072,0.000242963,8.09115e-07,3.0761e-08,0.033154,1.02663,0.0200189,0.709462,2.45578,-0.253994,1.06888,0.0992927,0.769769,1.65643
4,16,16,0,16,2,0.00923428,0.00035107,8.09115e-07,3.0761e-08,0.033154,1.02663,0.0200189,0.709462,2.45578,-0.253994,1.06888,0.0992927,0.769769,1.65643
4,16,16,0,32,0,1.44559e-07,5.49585e-09,8.09115e-07,3.0761e-08,0.033154,1.02663,0.0200189,0.709462,2.45578,-0.253994,1.06888,0.0992927,0.769769,1.65643
4,16,16,0,32,1,9.38598e-08,3.56837e-09,8.09115e-07,3.0761e-08,0.033154,1.02663,0.0200189,0.709462,2.45578,-0.253994,1.06888,0.0992927,0.769769,1.65643
4,16,16,0,32,2,1.44559e-07,5.49585e-09,8.09115e-07,3.0761e-08,0.033154,1.02663,0.0200189,0.709462,2.45578,-0.253994,1.06888,0.0992927,0.769769,1.65643
5,16,16,0,8,0,1.31031,0.148724,2.98664e-06,3.38994e-07,0.0213707,0.963805,0.0133846,0.660011,2.4339,0.166466,0.670647,0.0136028,0.236642,1.15029
5,16,16,0,8,1,2.31031,0.262228,2.98664e-06,3.38994e-07,0.0213707,0.963805,0.0133846,0.660011,2.4339,0.166466,0.670647,0.0136028,0.236642,1.15029
5,16,16,0,8,2,1.81031,0.205476,2.98664e-06,3.38994e-07,0.0213707,0.963805,0.0133846,0.660011,2.4339,0.166466,0.670647,0.0136028,0.236642,1.15029
5,16,16,0,16,0,0.00562013,0.000637904,2.98664e-06,3.38994e-07,0.0213707,0.963805,0.0133846,0.660011,2.4339,0.166466,0.670647,0.0136028,0.236642,1.15029
5,16,16,0,16,1,0.00219237,0.000248842,2.98664e-06,3.38994e-07,0.0213707,0.963805,0.0133846,0.660011,2.4339,0.166466,0.670647,0.0136028,0.236642,1.15029
5,16,16,0,16,2,0.00609862,0.000692214,2.98664e-06,3.38994e-07,0.0213707,0.963805,0.0133846,0.660011,2.4339,0.166466,0.670647,0.0136028,0.236642,1.15029
5,16,16,0,32,0,6.40527e-09,7.2702e-10,2.98664e-06,3.38994e-07,0.0213707,0.963805,0.0133846,0.660011,2.4339,0.166466,0.670647,0.0136028,0.236642,1.15029
5,16,16,0,32,1,1.25615e-07,1.42577e-08,2.98664e-06,3.38994e-07,0.0213707,0.963805,0.0133846,0.660011,2.4339,0.166466,0.670647,0.0136028,0.236642,1.15029
5,16,16,0,32,2,1.25615e-07,1.42577e-08,2.98664e-06,3.38994e-07,0.0213707,0.963805,0.0133846,0.660011,2.4339,0.166466,0.670647,0.0136028,0.236642,1.15029
6,16,16,0,8,0,0.348186,0.041708,7.22993e-07,8.66048e-08,-0.0136769,0.956686,0.0277217,0.638783,2.39172,-0.0831234,0.888378,0.0442594,0.404217,1.27364
6,16,16,0,8,1,0.348186,0.041708,7.22993e-07,8.66048e-08,-0.0136769,0.956686,0.0277217,0.638783,2.39172,-0.0831234,0.888378,0.0442594,0.404217,1.27364
6,16,16,0,8,2,1.65181,0.197865,7.22993e-07,8.66048e-08,-0.0136769,0.956686,0.0277217,0.638783,2.39172,-0.0831234,0.888378,0.0442594,0.404217,1.27364
6,16,16,0,16,0,0.00443577,0.000531345,7.22993e-07,8.66048e-08,-0.0136769,0.956686,0.0277217,0.638783,2.39172,-0.0831234,0.888378,0.0442594,0.404217,1.27364
6,16,16,0,16,1,0.00443577,0.000531345,7.22993e-07,8.66048e-08,-0.0136769,0.956686,0.0277217,0.638783,2.39172,-0.0831234,0.888378,0.0442594,0.404217,1.27364
6,16,16,0,16,2,0.00443577,0.000531345,7.22993e-07,8.66048e-08,-0.0136769,0.956686,0.0277217,0.638783,2.39172,-0.0831234,0.888378,0.0442594,0.404217,1.27364
6,16,16,0,32,0,7.73719e-09,9.26811e-10,7.22993e-07,8.66048e-08,-0.0136769,0.956686,0.0277217,0.638783,2.39172,-0.0831234,0.888378,0.0442594,0.404217,1.27364
6,16,16,0,32,1,6.73418e-08,8.06664e-09,7.22993e-07,8.66048e-08,-0.0136769,0.956686,0.0277217,0.638783,2.39172,-0.0831234,0.888378,0.0442594,0.404217,1.27364
6,16,16,0,32,2,7.73719e-09,9.26811e-10,7.22993e-07,8.66048e-08,-0.0136769,0.956686,0.0277217,0.638783,2.39172,-0.0831234,0.888378,0.0442594,0.404217,1.27364
7,16,16,0,8,0,0.854584,0.108801,5.75509e-07,7.32705e-08,0.0530609,0.96907,0.0183035,0.656481,2.40738,0.292914,0.863903,0.0606088,0.832899,1.47032
