kernel_id,vec_len,dist_type,best_dtype,best_posit_n,best_posit_es,best_mean_rel_err,mean_fp32_rel_err,class_id
l1_norm,1024,2,posit_32_0,32.0,0.0,8.282228984600001e-09,3.855246151894e-07,6
l1_norm,1024,3,fp32,,,3.67088117076e-07,3.67088117076e-07,9
sum_squares,16,0,posit_32_1,32.0,1.0,4.40524573248e-09,5.5466768621399995e-08,7
sum_squares,16,1,posit_32_1,32.0,1.0,2.67651260616e-09,5.3122010109999994e-08,7
sum_squares,16,2,posit_32_2,32.0,2.0,4.5706098382e-08,5.3373033548e-08,8
sum_squares,16,3,fp32,,,5.3953241824e-08,5.3953241824e-08,9
sum_squares,128,0,posit_32_2,32.0,2.0,1.6246483702e-08,1.2889106465599997e-07,8
sum_squares,128,1,posit_32_1,32.0,1.0,1.66126745544e-08,1.369441991666e-07,7
sum_squares,128,2,posit_32_2,32.0,2.0,6.518464276120001e-08,1.36165675755e-07,8
sum_squares,128,3,fp32,,,1.2553871276800002e-07,1.2553871276800002e-07,9
sum_squares,1024,0,posit_32_2,32.0,2.0,9.307132164639999e-08,3.3526865221599996e-07,8
sum_squares,1024,1,posit_32_2,32.0,2.0,9.057758817000001e-08,3.7640794454000005e-07,8
sum_squares,1024,2,posit_32_2,32.0,2.0,9.5059932818e-08,3.7822314896e-07,8
sum_squares,1024,3,fp32,,,3.5979461295e-07,3.5979461295e-07,9
axpby_sum,16,0,posit_32_1,32.0,1.0,1.566174863042e-08,7.6833242983e-07,7
axpby_sum,16,1,posit_32_0,32.0,0.0,1.34676741606e-08,3.87152963192e-07,6
axpby_sum,16,2,posit_32_2,32.0,2.0,5.94353966549e-08,2.60157932592e-07,8
axpby_sum,16,3,posit_32_2,32.0,2.0,8.8964328678e-08,3.7056488754e-07,8
axpby_sum,128,0,posit_32_1,32.0,1.0,2.5935425812000002e-08,3.81418517088e-07,7
axpby_sum,128,1,posit_32_1,32.0,1.0,2.6886350421126e-08,5.852922636680001e-07,7
axpby_sum,128,2,posit_32_2,32.0,2.0,1.38468127496e-07,8.012761083459999e-07,8
axpby_sum,128,3,posit_32_2,32.0,2.0,1.8021726869e-07,4.1556611177600006e-07,8
axpby_sum,1024,0,posit_32_2,32.0,2.0,1.7826860645e-07,3.4942491430560003e-06,8
axpby_sum,1024,1,posit_32_2,32.0,2.0,1.5628986591899998e-07,2.02925799617e-06,8
axpby_sum,1024,2,posit_32_2,32.0,2.0,1.32142511774e-07,1.10523749392e-06,8
axpby_sum,1024,3,posit_32_2,32.0,2.0,6.63369782982e-07,2.2473849547e-06,8
matvec,16,0,posit_32_1,32.0,1.0,1.221578295e-08,2.3613528249999998e-07,7
matvec,16,1,posit_32_0,32.0,0.0,2.02641865e-08,7.623390204999998e-07,6
matvec,16,2,fp32,,,1.2041145999999998e-07,1.2041145999999998e-07,9
matvec,16,3,fp32,,,1.0340830569499999e-06,1.0340830569499999e-06,9
matvec,128,0,posit_32_0,32.0,0.0,5.657294030000001e-07,1.5879209667999998e-05,6
matvec,128,1,posit_32_2,32.0,2.0,5.3933798045e-08,5.56847965e-07,8
matvec,128,2,posit_32_2,32.0,2.0,2.2743352450000002e-07,2.3065814999999996e-07,8
matvec,128,3,fp32,,,6.764535119999999e-07,6.764535119999999e-07,9
matvec,1024,0,posit_32_2,32.0,2.0,1.2551994550000004e-07,7.076288500000001e-07,8
matvec,1024,1,posit_32_1,32.0,1.0,2.950527763e-07,3.920311766500001e-06,7
matvec,1024,2,posit_32_2,32.0,2.0,6.920687341e-07,8.182811949999998e-07,8
matvec,1024,3,fp32,,,4.536071941e-05,4.536071941e-05,9
prefix_sum,16,0,posit_32_1,32.0,1.0,1.4579574523399999e-08,2.2338711344e-07,7
prefix_sum,16,1,posit_32_1,32.0,1.0,6.985449918100001e-09,1.38466370076e-07,7
prefix_sum,16,2,posit_32_2,32.0,2.0,3.738608821692e-08,1.9226903375800002e-07,8
prefix_sum,16,3,posit_32_2,32.0,2.0,4.9959137896e-08,1.337641463718e-07,8
prefix_sum,128,0,posit_32_2,32.0,2.0,5.6286784658599996e-08,6.59047683626e-07,8
prefix_sum,128,1,posit_32_2,32.0,2.0,4.3795464587599995e-08,4.77009179466e-07,8
prefix_sum,128,2,posit_32_2,32.0,2.0,6.758778452300001e-08,4.67035168984e-07,8
prefix_sum,128,3,posit_32_2,32.0,2.0,4.1559842348e-07,5.5833811822e-07,8
prefix_sum,1024,0,posit_32_2,32.0,2.0,1.9981240677999998e-07,9.33816509362e-07,8
prefix_sum,1024,1,posit_32_2,32.0,2.0,1.8666075396200002e-07,1.0626958556799999e-06,8
prefix_sum,1024,2,posit_32_2,32.0,2.0,1.937994919388e-07,9.668747070599998e-07,8
prefix_sum,1024,3,fp32,,,1.2186927315919999e-06,1.2186927315919999e-06,9
