app,family,variant_id,sample_id,source_ir,function,entity_id,role,bb,def_opcode,use_count,is_loop_carried,is_output_related,fanout,reduction_depth,distance_to_output,same_loop_neighbor_count,num_arith_users,format,format_n,format_es,tol_whole_app_rel_err,actual_whole_app_rel_err,is_feasible_under_tol,margin_to_tol,label_status,notes
ema_recurrence_v01,ema_recurrence,v01,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v01.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_16_2,16,2,1.000000e-03,2.984880e-04,1,7.015120e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v01,ema_recurrence,v01,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v01.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_32_0,32,0,1.000000e-03,2.151670e-09,1,9.999978e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v01,ema_recurrence,v01,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v01.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_32_1,32,1,1.000000e-03,4.735120e-09,1,9.999953e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v01,ema_recurrence,v01,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v01.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_32_2,32,2,1.000000e-03,1.248190e-08,1,9.999875e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v02,ema_recurrence,v02,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v02.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_0,8,0,1.000000e-03,4.219630e-03,0,-3.219630e-03,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v02,ema_recurrence,v02,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v02.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_1,8,1,1.000000e-03,4.219630e-03,0,-3.219630e-03,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v02,ema_recurrence,v02,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v02.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_2,8,2,1.000000e-03,4.219630e-03,0,-3.219630e-03,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v02,ema_recurrence,v02,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v02.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_16_0,16,0,1.000000e-03,1.488660e-04,1,8.511340e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v02,ema_recurrence,v02,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v02.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_16_1,16,1,1.000000e-03,5.971340e-05,1,9.402866e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v02,ema_recurrence,v02,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v02.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_16_2,16,2,1.000000e-03,4.163250e-04,1,5.836750e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v02,ema_recurrence,v02,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v02.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_32_0,32,0,1.000000e-03,1.274080e-09,1,9.999987e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v02,ema_recurrence,v02,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v02.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_32_1,32,1,1.000000e-03,1.274080e-09,1,9.999987e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v02,ema_recurrence,v02,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v02.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_32_2,32,2,1.000000e-03,1.274080e-09,1,9.999987e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v03,ema_recurrence,v03,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v03.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_0,8,0,1.000000e-03,6.574170e-02,0,-6.474170e-02,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v03,ema_recurrence,v03,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v03.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_1,8,1,1.000000e-03,2.788900e-01,0,-2.778900e-01,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v03,ema_recurrence,v03,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v03.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_8_2,8,2,1.000000e-03,2.788900e-01,0,-2.778900e-01,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v03,ema_recurrence,v03,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v03.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_16_0,16,0,1.000000e-03,3.120590e-04,1,6.879410e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v03,ema_recurrence,v03,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v03.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_16_1,16,1,1.000000e-03,3.120590e-04,1,6.879410e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v03,ema_recurrence,v03,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v03.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_16_2,16,2,1.000000e-03,1.908240e-03,0,-9.082400e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v03,ema_recurrence,v03,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v03.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_32_0,32,0,1.000000e-03,8.950390e-09,1,9.999910e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v03,ema_recurrence,v03,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v03.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_32_1,32,1,1.000000e-03,1.645890e-08,1,9.999835e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
ema_recurrence_v03,ema_recurrence,v03,,/home/hoju/test/posit_test/generated_apps/compiled_lcs_O1/ir/ema_recurrence/ema_recurrence_v03.ll,main,%24,loop_carried_state,entry,phi,1,1,1,1,1,4,3,1,posit_32_2,32,2,1.000000e-03,7.989120e-09,1,9.999920e-04,actual_eval,single-loop_carried_state substitution; other entities fixed to fp64
